2019-09-21 10:26:06,000 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2019-09-21 10:26:06,040 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2019-09-21 10:26:06,042 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2019-09-21 10:26:06,043 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2019-09-21 10:26:06,068 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2019-09-21 10:26:06,069 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2019-09-21 10:26:06,124 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2019-09-21 10:27:07,310 INFO  SwAddin.cs: 271 - Assembly export called for file ros2.SLDASM
2019-09-21 10:27:15,751 INFO  SwAddin.cs: 290 - Saving assembly
2019-09-21 10:27:15,922 INFO  SwAddin.cs: 293 - Opening property manager
2019-09-21 10:27:15,946 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from ros2.SLDASM
2019-09-21 10:27:15,961 INFO  ExportHelperExtension.cs: 1142 - Found 28 in ros2.SLDASM
2019-09-21 10:27:15,961 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in ros2.SLDASM
2019-09-21 10:27:15,962 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2019-09-21 10:27:15,963 INFO  ExportHelperExtension.cs: 1167 - 2 components to check
2019-09-21 10:27:15,965 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from 21-1
2019-09-21 10:27:15,965 INFO  ExportHelperExtension.cs: 1142 - Found 30 in 21-1
2019-09-21 10:27:15,966 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in 21-1
2019-09-21 10:27:15,967 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from 2019Ê¡Èü³¡µØ-1
2019-09-21 10:27:15,967 INFO  ExportHelperExtension.cs: 1142 - Found 91 in 2019Ê¡Èü³¡µØ-1
2019-09-21 10:27:15,972 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in 2019Ê¡Èü³¡µØ-1
2019-09-21 10:27:15,986 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from ros2.SLDASM
2019-09-21 10:27:16,119 INFO  ExportHelperExtension.cs: 1142 - Found 28 in ros2.SLDASM
2019-09-21 10:27:16,120 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in ros2.SLDASM
2019-09-21 10:27:16,120 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2019-09-21 10:27:16,121 INFO  ExportHelperExtension.cs: 1167 - 2 components to check
2019-09-21 10:27:16,121 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from 21-1
2019-09-21 10:27:16,122 INFO  ExportHelperExtension.cs: 1142 - Found 30 in 21-1
2019-09-21 10:27:16,122 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in 21-1
